s_m,x_m,y_m
4.256346191,5.489202289,0.260149869
4.278286119,5.510889636,0.259094634
4.300226048,5.532616068,0.258069581
4.322165977,5.554381484,0.257074783
4.344105906,5.576185792,0.256110304
4.366045835,5.598028909,0.255176197
4.387985763,5.619910759,0.254272512
4.409925692,5.641823922,0.253399480
4.431865621,5.663760999,0.252557256
4.453805550,5.685721961,0.251745768
4.475745479,5.707706791,0.250964943
4.497685408,5.729715475,0.250214701
4.519625336,5.751748012,0.249494950
4.541565265,5.773804394,0.248805214
4.563505194,5.795884609,0.248144576
4.585445123,5.817988656,0.247512092
4.607385052,5.840116537,0.246906814
4.629324980,5.862268265,0.246327791
4.651264909,5.884443856,0.245773980
4.673204838,5.906640681,0.245243921
4.695144767,5.928842924,0.244736767
4.717084696,5.951047957,0.244251646
4.739024625,5.973255788,0.243787626
4.760964553,5.995466427,0.243343767
4.782904482,6.017679875,0.242918929
4.804844411,6.039896119,0.242511651
4.826784340,6.062115145,0.242120448
4.848724269,6.084336936,0.241743835
4.870664197,6.106561475,0.241380323
4.892604126,6.128788738,0.241028402
4.914544055,6.151018694,0.240686340
4.936483984,6.173251304,0.240352307
4.958423913,6.195480420,0.240024771
4.980363842,6.217699885,0.239702509
5.002303770,6.239909637,0.239384151
5.024243699,6.262109610,0.239068261
5.046183628,6.284299728,0.238753260
5.068123557,6.306479908,0.238437554
5.090063486,6.328650067,0.238119548
5.112003414,6.350810113,0.237797645
5.133943343,6.372959955,0.237470242
5.155883272,6.395099494,0.237135670
5.177823201,6.417228627,0.236792214
5.199763130,6.439347249,0.236438157
5.221703059,6.461456447,0.236071726
5.243642987,6.483563276,0.235690732
5.265582916,6.505668835,0.235293083
5.287522845,6.527773027,0.234876784
5.309462774,6.549875754,0.234439851
5.331402703,6.571976917,0.233980298
5.353342631,6.594076415,0.233496141
5.375282560,6.616174145,0.232985407
5.397222489,6.638270011,0.232446341
5.419162418,6.660363924,0.231877376
5.441102347,6.682455794,0.231276950
5.463042276,6.704545530,0.230643503
5.484982204,6.726633040,0.229975474
5.506922133,6.748728074,0.229270878
5.528862062,6.770840402,0.228527795
5.550801991,6.792969946,0.227744756
5.572741920,6.815116625,0.226920289
5.594681848,6.837280347,0.226052924
5.616621777,6.859461016,0.225141204
5.638561706,6.881658549,0.224184154
5.660501635,6.903872885,0.223181361
5.682441564,6.926103957,0.222132439
5.704381493,6.948351692,0.221037002
5.726321421,6.970616012,0.219894663
5.748261350,6.992896840,0.218705163
5.770201279,7.015194007,0.217468982
5.792141208,7.037506735,0.216186903
5.814081137,7.059834852,0.214859693
5.836021065,7.082178305,0.213488114
5.857960994,7.104537039,0.212072930
5.879900923,7.126911019,0.210615221
5.901840852,7.149300234,0.209116549
5.923780781,7.171704681,0.207578518
5.945720710,7.194124360,0.206002730
5.967660638,7.216559276,0.204390786
5.989600567,7.239009438,0.202744312
6.011540496,7.261474877,0.201065154
6.033480425,7.283955638,0.199355261
6.055420354,7.306440428,0.197617412
6.077360282,7.328918022,0.195854974
6.099300211,7.351388579,0.194070772
6.121240140,7.373852261,0.192267565
6.143180069,7.396309235,0.190447976
